status,batch_id,evolution_line_id,dex_no,stage_number,stage_label,source_type,source_filename,parent_sheet_filename,matched_asset_filename,asset_status,source_path,ocr_name,approved_name,slug,evolves_from,evolves_to,rarity,element_1,element_2,taxonomy_primary,taxonomy_secondary,role,health,aura,attack,special_attack,defense,special_defense,speed,stat_total,ability,signature_moves,description,habitat,personality,tags,confidence,review_notes,image_path,source_path_repo,intake_id
drafted,batch_001,miko-line,,1,Stage 1,evolution_sheets,01F964A2-C1C9-4FAB-A75E-0EF7609929DF_1_102_o.jpeg,01F964A2-C1C9-4FAB-A75E-0EF7609929DF_1_102_o.jpeg,,concept_only,public/assets/monari/_incoming/batch_001/evolution_sheets/01F964A2-C1C9-4FAB-A75E-0EF7609929DF_1_102_o.jpeg,Miko,Miko,miko,,mirox,Rare,Neutral,Light,Feral,Seraph,Speed Duelist,70,80,85,70,60,65,100,530,Lumen Focus,Lumen Edge; Pulse Paw; Flash Step; Mirror Guard; Brightline Slash,A focused mouse warrior Monari that channels neutral-light energy through precise paw strikes.,Training fields; old temples; moonlit plains,"Agile, focused, loyal","mouse, warrior, bipedal, light, precision, duelist, speed",0.96,,/assets/monari/_incoming/batch_001/evolution_sheets/01F964A2-C1C9-4FAB-A75E-0EF7609929DF_1_102_o.jpeg,public/assets/monari/_incoming/batch_001/evolution_sheets/01F964A2-C1C9-4FAB-A75E-0EF7609929DF_1_102_o.jpeg,batch001_001_miko
drafted,batch_001,miko-line,,2,Final,evolution_sheets,01F964A2-C1C9-4FAB-A75E-0EF7609929DF_1_102_o.jpeg,01F964A2-C1C9-4FAB-A75E-0EF7609929DF_1_102_o.jpeg,,concept_only,public/assets/monari/_incoming/batch_001/evolution_sheets/01F964A2-C1C9-4FAB-A75E-0EF7609929DF_1_102_o.jpeg,Mirox,Mirox,mirox,miko,,Rare,Neutral,Light,Feral,Seraph,Precision Duelist,90,110,120,95,80,85,130,710,Lumen Focus,Lumen Edge; Pulse Paw; Flash Step; Mirror Guard; Brightline Slash,An elegant final-form duelist whose movement sharpens under pressure and whose light-edge attacks are hard to predict.,Training fields; old temples; moonlit plains,"Agile, focused, loyal","mouse, warrior, bipedal, light, precision, duelist, speed",0.96,,/assets/monari/_incoming/batch_001/evolution_sheets/01F964A2-C1C9-4FAB-A75E-0EF7609929DF_1_102_o.jpeg,public/assets/monari/_incoming/batch_001/evolution_sheets/01F964A2-C1C9-4FAB-A75E-0EF7609929DF_1_102_o.jpeg,batch001_002_mirox
drafted,batch_001,railshrike-line,,1,Stage 1,evolution_sheets,1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,,concept_only,public/assets/monari/_incoming/batch_001/evolution_sheets/1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,Sparail,Sparail,sparail,,voltrike,Rare,Steel,Thunder,Sylph,Tempest,Aerial Striker / Speed Sweeper,55,60,70,65,45,50,105,450,Rail Charge,Rail Dash; Thunder Slicer,A rail chick that sparks with curious energy and scampers along metal tracks at top speed.,"Cliffs, rails, storm routes, metal ruins","Alert, sharp, restless","bird, steel, thunder, wing-blades, speed, aerial",0.98,,/assets/monari/_incoming/batch_001/evolution_sheets/1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,public/assets/monari/_incoming/batch_001/evolution_sheets/1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,batch001_003_sparail
drafted,batch_001,railshrike-line,,2,Stage 2,evolution_sheets,1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,,concept_only,public/assets/monari/_incoming/batch_001/evolution_sheets/1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,Voltrike,Voltrike,voltrike,sparail,railshrike,Rare,Steel,Thunder,Sylph,Tempest,Aerial Striker / Speed Sweeper,70,75,90,80,60,65,140,580,Rail Charge,Rail Dash; Thunder Slicer,"Built for burst speed, it launches like a railgun as lightning gathers along its wing-blades.","Cliffs, rails, storm routes, metal ruins","Alert, sharp, restless","bird, steel, thunder, wing-blades, speed, aerial",0.98,,/assets/monari/_incoming/batch_001/evolution_sheets/1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,public/assets/monari/_incoming/batch_001/evolution_sheets/1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,batch001_004_voltrike
drafted,batch_001,railshrike-line,,3,Final,evolution_sheets,1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,,concept_only,public/assets/monari/_incoming/batch_001/evolution_sheets/1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,Railshrike,Railshrike,railshrike,voltrike,,Rare,Steel,Thunder,Sylph,Tempest,Aerial Striker / Speed Sweeper,85,95,115,100,75,80,150,700,Rail Charge,Rail Dash; Thunder Slicer,"A master of sky and ground that strikes in a blink, leaving only thunder and steel behind.","Cliffs, rails, storm routes, metal ruins","Alert, sharp, restless","bird, steel, thunder, wing-blades, speed, aerial",0.98,,/assets/monari/_incoming/batch_001/evolution_sheets/1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,public/assets/monari/_incoming/batch_001/evolution_sheets/1349420D-06C1-45EB-B70D-1D9EC035FCA1_1_105_c.jpeg,batch001_005_railshrike
drafted,batch_001,stormpetal-line,,1,Stage 1,evolution_sheets,1A82DD5F-7786-4114-B46E-6A4E187B76F6_1_105_c.jpeg,1A82DD5F-7786-4114-B46E-6A4E187B76F6_1_105_c.jpeg,,concept_only,public/assets/monari/_incoming/batch_001/evolution_sheets/1A82DD5F-7786-4114-B46E-6A4E187B76F6_1_105_c.jpeg,Budzap,Budzap,budzap,,stormpetal,Rare,Flora,Thunder,Feral,Tempest,Speed Sweeper,60,75,65,85,50,60,125,520,Static Bloom,Petal Volt; Storm Bloom,"A tiny, energetic Flora-Thunder Monari brimming with static sparks.","Stormy meadows, charged forests","Energetic, bright, playful","fox, flower, flora, thunder, speed, petals",0.98,,/assets/monari/_incoming/batch_001/evolution_sheets/1A82DD5F-7786-4114-B46E-6A4E187B76F6_1_105_c.jpeg,public/assets/monari/_incoming/batch_001/evolution_sheets/1A82DD5F-7786-4114-B46E-6A4E187B76F6_1_105_c.jpeg,batch001_006_budzap
drafted,batch_001,stormpetal-line,,2,Final,evolution_sheets,1A82DD5F-7786-4114-B46E-6A4E187B76F6_1_105_c.jpeg,1A82DD5F-7786-4114-B46E-6A4E187B76F6_1_105_c.jpeg,,concept_only,public/assets/monari/_incoming/batch_001/evolution_sheets/1A82DD5F-7786-4114-B46E-6A4E187B76F6_1_105_c.jpeg,Stormpetal,Stormpetal,stormpetal,budzap,,Rare,Flora,Thunder,Feral,Tempest,Speed Sweeper,80,100,85,120,70,80,150,685,Static Bloom,Petal Volt; Storm Bloom,"Agile and electrifying, it blooms through the storm with petal-bright lightning.","Stormy meadows, charged forests","Energetic, bright, playful","fox, flower, flora, thunder, speed, petals",0.98,,/assets/monari/_incoming/batch_001/evolution_sheets/1A82DD5F-7786-4114-B46E-6A4E187B76F6_1_105_c.jpeg,public/assets/monari/_incoming/batch_001/evolution_sheets/1A82DD5F-7786-4114-B46E-6A4E187B76F6_1_105_c.jpeg,batch001_007_stormpetal
drafted,batch_001,bloomhart-line,,1,Stage 1,evolution_sheets,1C30202A-DE45-44A8-A340-F2D0C388C06B_1_105_c.jpeg,1C30202A-DE45-44A8-A340-F2D0C388C06B_1_105_c.jpeg,,concept_only,public/assets/monari/_incoming/batch_001/evolution_sheets/1C30202A-DE45-44A8-A340-F2D0C388C06B_1_105_c.jpeg,Bloomfawn,Bloomfawn,bloomfawn,,bloomhart,Common,Flora,,Feral,,Support / Healer,75,80,45,65,65,85,65,480,Forest Heart,Leaf Guard; Forest Blessing,"A spry and kind-hearted Flora Monari that dashes across meadows, mending wounds with soothing floral energy.","Meadows, healing groves, starter forests","Kind, gentle, protective","deer, rabbit, flora, healer, support, flowers, antlers",0.88,Sheet says generic 'Minari' and Concept B; names use existing Monarium draft Bloomfawn/Bloomhart.,/assets/monari/_incoming/batch_001/evolution_sheets/1C30202A-DE45-44A8-A340-F2D0C388C06B_1_105_c.jpeg,public/assets/monari/_incoming/batch_001/evolution_sheets/1C30202A-DE45-44A8-A340-F2D0C388C06B_1_105_c.jpeg,batch001_008_bloomfawn
drafted,batch_001,bloomhart-line,,2,Final,evolution_sheets,1C30202A-DE45-44A8-A340-F2D0C388C06B_1_105_c.jpeg,1C30202A-DE45-44A8-A340-F2D0C388C06B_1_105_c.jpeg,,concept_only,public/assets/monari/_incoming/batch_001/evolution_sheets/1C30202A-DE45-44A8-A340-F2D0C388C06B_1_105_c.jpeg,Bloomhart,Bloomhart,bloomhart,bloomfawn,,Common,Flora,,Feral,,Support / Healer,105,110,65,90,90,115,85,660,Forest Heart,Leaf Guard; Forest Blessing,A graceful healer whose antlers bloom with living flowers and whose aura supports injured allies.,"Meadows, healing groves, starter forests","Kind, gentle, protective","deer, rabbit, flora, healer, support, flowers, antlers",0.88,Sheet says generic 'Minari' and Concept B; names use existing Monarium draft Bloomfawn/Bloomhart.,/assets/monari/_incoming/batch_001/evolution_sheets/1C30202A-DE45-44A8-A340-F2D0C388C06B_1_105_c.jpeg,public/assets/monari/_incoming/batch_001/evolution_sheets/1C30202A-DE45-44A8-A340-F2D0C388C06B_1_105_c.jpeg,batch001_009_bloomhart
drafted,batch_001,aegarthund-line,,1,Stage 1,evolution_sheets,1E638E3D-97A1-4B9A-8C32-17C4679DA246_1_102_o.jpeg,1E638E3D-97A1-4B9A-8C32-17C4679DA246_1_102_o.jpeg,,concept_only,public/assets/monari/_incoming/batch_001/evolution_sheets/1E638E3D-97A1-4B9A-8C32-17C4679DA246_1_102_o.jpeg,Pangnor,Pangnor,pangnor,,aegarthund,Rare,Steel,Thunder,Golem,Brute,Armored Defender,95,75,80,75,120,90,40,575,Stormplate,Volt Shell; High-Voltage Barrier,A heavily armored Monari that absorbs lightning to charge its durable shell and paralyzes foes with an electrically charged tail slam.,"Mountain passes, storm cliffs, steel caverns","Stubborn, protective, grounded","armored, turtle, steel, thunder, bulky, shield",0.94,,/assets/monari/_incoming/batch_001/evolution_sheets/1E638E3D-97A1-4B9A-8C32-17C4679DA246_1_102_o.jpeg,public/assets/monari/_incoming/batch_001/evolution_sheets/1E638E3D-97A1-4B9A-8C32-17C4679DA246_1_102_o.jpeg,batch001_010_pangnor
